INFO:root:Profile data:
         527508 function calls (527489 primitive calls) in 1.695 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    1.159    0.579    1.655    0.828 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\gpcp_parsers.py:381(write_csv)
    41484    0.075    0.000    0.079    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\mapping.py:37(__init__)
        2    0.060    0.030    0.409    0.204 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\gpcp_parsers.py:107(generate_map)
    20736    0.055    0.000    0.096    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\mapping.py:84(__init__)
    20736    0.052    0.000    0.090    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\mapping.py:103(__init__)
        2    0.045    0.023    0.239    0.119 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\mapping.py:151(__init__)
   248832    0.044    0.000    0.044    0.000 {method 'write' of 'cStringIO.StringO' objects}
        2    0.040    0.020    0.040    0.020 {method 'write' of 'file' objects}
    20736    0.036    0.000    0.036    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\mapping.py:89(__str__)
    20736    0.034    0.000    0.034    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\mapping.py:108(__str__)
    20736    0.030    0.000    0.100    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\mapping.py:132(__str__)
        2    0.016    0.008    1.688    0.844 gpcp_to_csv.py:288(process_file)
    20809    0.008    0.000    0.008    0.000 {method 'split' of 'str' objects}
     1728    0.007    0.000    0.007    0.000 {_struct.unpack}
    20742    0.005    0.000    0.005    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\mapping.py:122(__init__)
        4    0.004    0.001    0.004    0.001 {print}
    41498    0.004    0.000    0.004    0.000 {method 'upper' of 'str' objects}
    43506    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
        2    0.003    0.001    0.003    0.001 {method 'getvalue' of 'cStringIO.StringO' objects}
        2    0.003    0.001    0.014    0.007 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\gpcp_parsers.py:57(__init__)
        1    0.002    0.002    1.695    1.695 gpcp_to_csv.py:332(main)
     1732    0.002    0.000    0.002    0.000 {method 'read' of 'file' objects}
        6    0.002    0.000    0.002    0.000 {open}
       21    0.001    0.000    0.001    0.000 {min}
        2    0.001    0.000    0.001    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\gpcp_parsers.py:308(get_variables)
       24    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
     2154    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      150    0.000    0.000    0.000    0.000 {range}
        2    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
       10    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:1274(add_argument)
      4/3    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\sre_parse.py:385(_parse)
        2    0.000    0.000    0.000    0.000 {method 'readline' of 'file' objects}
      8/2    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\sre_compile.py:38(_compile)
       10    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:1404(_get_optional_kwargs)
     11/5    0.000    0.000    0.001    0.000 C:\Python26\ArcGIS10.0\lib\sre_parse.py:146(getwidth)
      3/2    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\sre_parse.py:307(_parse_sub)
